,0
0,G7
1,G7
2,G7
3,G7
4,G7
5,G7
6,G7
7,G7
8,G7
9,G7
10,G7
11,G7
12,G7
13,G7
14,G7
15,G7
16,G7
17,G7
18,G7
19,G7
20,G7
21,G7
22,G7
23,G7
24,G7
25,G7
26,G7
27,G7
28,G7
29,G7
30,G7
31,G7
32,G7
33,G7
34,G7
35,G7
36,G7
37,G7
38,G7
39,G7
40,G7
41,G7
42,G7
43,G7
44,G7
45,G7
46,G7
47,G7
48,G7
49,G7
50,G7
51,G7
52,G7
53,G7
54,G7
55,G7
56,G7
57,G7
58,G7
59,G7
60,G7
61,G7
62,G7
63,G7
64,G7
65,G7
66,G7
67,G7
68,G7
69,G7
70,G7
71,G7
72,G7
73,G7
74,G7
75,G7
76,G7
77,G7
78,G7
79,G7
80,G7
81,G7
82,G7
83,G7
84,G7
85,G7
86,G7
87,G7
88,G7
89,G7
90,G7
91,G7
92,G7
93,G7
94,G7
95,G7
96,C7
97,C7
98,C7
99,C7
100,C7
101,C7
102,C7
103,C7
104,C7
105,C7
106,C7
107,C7
108,C7
109,C7
110,C7
111,C7
112,C7
113,C7
114,C7
115,C7
116,C7
117,C7
118,C7
119,C7
120,C7
121,C7
122,C7
123,C7
124,C7
125,C7
126,C7
127,C7
128,C7
129,C7
130,C7
131,C7
132,C7
133,C7
134,C7
135,C7
136,C7
137,C7
138,C7
139,C7
140,C7
141,C7
142,C7
143,C7
144,G
145,G
146,G
147,G
148,G
149,G
150,G
151,G
152,G
153,G
154,G
155,G
156,G
157,G
158,G
159,G
160,G
161,G
162,G
163,G
164,G
165,G
166,G
167,G
168,G
169,G
170,G
171,G
172,G
173,G
174,G
175,G
176,G
177,G
178,G
179,G
180,G
181,G
182,G
183,G
184,G
185,G
186,G
187,G
188,G
189,G
190,G
191,G
192,Dm
193,Dm
194,Dm
195,Dm
196,Dm
197,Dm
198,Dm
199,Dm
200,Dm
201,Dm
202,Dm
203,Dm
204,Dm
205,Dm
206,Dm
207,Dm
208,Dm
209,Dm
210,Dm
211,Dm
212,Dm
213,Dm
214,Dm
215,Dm
216,G7
217,G7
218,G7
219,G7
220,G7
221,G7
222,G7
223,G7
224,G7
225,G7
226,G7
227,G7
228,G7
229,G7
230,G7
231,G7
232,G7
233,G7
234,G7
235,G7
236,G7
237,G7
238,G7
239,G7
240,C7
241,C7
242,C7
243,C7
244,C7
245,C7
246,C7
247,C7
248,C7
249,C7
250,C7
251,C7
252,C7
253,C7
254,C7
255,C7
256,C7
257,C7
258,C7
259,C7
260,C7
261,C7
262,C7
263,C7
264,C7
265,C7
266,C7
267,C7
268,C7
269,C7
270,C7
271,C7
272,C7
273,C7
274,C7
275,C7
276,C7
277,C7
278,C7
279,C7
280,C7
281,C7
282,C7
283,C7
284,C7
285,C7
286,C7
287,C7
288,C7
289,C7
290,C7
291,C7
292,C7
293,C7
294,C7
295,C7
296,C7
297,C7
298,C7
299,C7
300,C7
301,C7
302,C7
303,C7
304,C7
305,C7
306,C7
307,C7
308,C7
309,C7
310,C7
311,C7
312,C7
313,C7
314,C7
315,C7
316,C7
317,C7
318,C7
319,C7
320,C7
321,C7
322,C7
323,C7
324,C7
325,C7
326,C7
327,C7
328,C7
329,C7
330,C7
331,C7
332,C7
333,C7
334,C7
335,C7
336,G
337,G
338,G
339,G
340,G
341,G
342,G
343,G
344,G
345,G
346,G
347,G
348,G
349,G
350,G
351,G
352,G
353,G
354,G
355,G
356,G
357,G
358,G
359,G
360,G
361,G
362,G
363,G
364,G
365,G
366,G
367,G
368,G
369,G
370,G
371,G
372,G
373,G
374,G
375,G
376,G
377,G
378,G
379,G
380,G
381,G
382,G
383,G
384,G
385,G
386,G
387,G
388,G
389,G
390,G
391,G
392,G
393,G
394,G
395,G
396,G
397,G
398,G
399,G
400,G
401,G
402,G
403,G
404,G
405,G
406,G
407,G
408,E7
409,E7
410,E7
411,E7
412,E7
413,E7
414,E7
415,E7
416,E7
417,E7
418,E7
419,E7
420,E7
421,E7
422,E7
423,E7
424,E7
425,E7
426,E7
427,E7
428,E7
429,E7
430,E7
431,E7
432,Am
433,Am
434,Am
435,Am
436,Am
437,Am
438,Am
439,Am
440,Am
441,Am
442,Am
443,Am
444,Am
445,Am
446,Am
447,Am
448,Am
449,Am
450,Am
451,Am
452,Am
453,Am
454,Am
455,Am
456,Am
457,Am
458,Am
459,Am
460,Am
461,Am
462,Am
463,Am
464,Am
465,Am
466,Am
467,Am
468,Am
469,Am
470,Am
471,Am
472,Am
473,Am
474,Am
475,Am
476,Am
477,Am
478,Am
479,Am
480,D7
481,D7
482,D7
483,D7
484,D7
485,D7
486,D7
487,D7
488,D7
489,D7
490,D7
491,D7
492,D7
493,D7
494,D7
495,D7
496,D7
497,D7
498,D7
499,D7
500,D7
501,D7
502,D7
503,D7
504,D7
505,D7
506,D7
507,D7
508,D7
509,D7
510,D7
511,D7
512,D7
513,D7
514,D7
515,D7
516,D7
517,D7
518,D7
519,D7
520,D7
521,D7
522,D7
523,D7
524,D7
525,D7
526,D7
527,D7
528,G7
529,G7
530,G7
531,G7
532,G7
533,G7
534,G7
