,0
0,E
1,E
2,E
3,E
4,E
5,E
6,E
7,E
8,E
9,E
10,E
11,E
12,E
13,E
14,E
15,E
16,E
17,E
18,E
19,E
20,E
21,E
22,E
23,E
24,E
25,E
26,E
27,E
28,E
29,E
30,E
31,E
32,E
33,E
34,E
35,E
36,E
37,E
38,E
39,E
40,E
41,E
42,E
43,E
44,E
45,E
46,E
47,E
48,E-/o7
49,E-/o7
50,E-/o7
51,E-/o7
52,E-/o7
53,E-/o7
54,E-/o7
55,E-/o7
56,E-/o7
57,E-/o7
58,E-/o7
59,E-/o7
60,E-/o7
61,E-/o7
62,E-/o7
63,E-/o7
64,E-/o7
65,E-/o7
66,E-/o7
67,E-/o7
68,E-/o7
69,E-/o7
70,E-/o7
71,E-/o7
72,G#7
73,G#7
74,G#7
75,G#7
76,G#7
77,G#7
78,G#7
79,G#7
80,G#7
81,G#7
82,G#7
83,G#7
84,G#7
85,G#7
86,G#7
87,G#7
88,G#7
89,G#7
90,G#7
91,G#7
92,G#7
93,G#7
94,G#7
95,G#7
96,C#m
97,C#m
98,C#m
99,C#m
100,C#m
101,C#m
102,C#m
103,C#m
104,C#m
105,C#m
106,C#m
107,C#m
108,C#m
109,C#m
110,C#m
111,C#m
112,C#m
113,C#m
114,C#m
115,C#m
116,C#m
117,C#m
118,C#m
119,C#m
120,F#7
121,F#7
122,F#7
123,F#7
124,F#7
125,F#7
126,F#7
127,F#7
128,F#7
129,F#7
130,F#7
131,F#7
132,F#7
133,F#7
134,F#7
135,F#7
136,F#7
137,F#7
138,F#7
139,F#7
140,F#7
141,F#7
142,F#7
143,F#7
144,Bm
145,Bm
146,Bm
147,Bm
148,Bm
149,Bm
150,Bm
151,Bm
152,Bm
153,Bm
154,Bm
155,Bm
156,Bm
157,Bm
158,Bm
159,Bm
160,Bm
161,Bm
162,Bm
163,Bm
164,Bm
165,Bm
166,Bm
167,Bm
168,E7
169,E7
170,E7
171,E7
172,E7
173,E7
174,E7
175,E7
176,E7
177,E7
178,E7
179,E7
180,E7
181,E7
182,E7
183,E7
184,E7
185,E7
186,E7
187,E7
188,E7
189,E7
190,E7
191,E7
192,A7
193,A7
194,A7
195,A7
196,A7
197,A7
198,A7
199,A7
200,A7
201,A7
202,A7
203,A7
204,A7
205,A7
206,A7
207,A7
208,A7
209,A7
210,A7
211,A7
212,A7
213,A7
214,A7
215,A7
216,A7
217,A7
218,A7
219,A7
220,A7
221,A7
222,A7
223,A7
224,A7
225,A7
226,A7
227,A7
228,A7
229,A7
230,A7
231,A7
232,A7
233,A7
234,A7
235,A7
236,A7
237,A7
238,A7
239,A7
240,Am
241,Am
242,Am
243,Am
244,Am
245,Am
246,Am
247,Am
248,Am
249,Am
250,Am
251,Am
252,Am
253,Am
254,Am
255,Am
256,Am
257,Am
258,Am
259,Am
260,Am
261,Am
262,Am
263,Am
264,D7
265,D7
266,D7
267,D7
268,D7
269,D7
270,D7
271,D7
272,D7
273,D7
274,D7
275,D7
276,D7
277,D7
278,D7
279,D7
280,D7
281,D7
282,D7
283,D7
284,D7
285,D7
286,D7
287,D7
288,G#m
289,G#m
290,G#m
291,G#m
292,G#m
293,G#m
294,G#m
295,G#m
296,G#m
297,G#m
298,G#m
299,G#m
300,G#m
301,G#m
302,G#m
303,G#m
304,G#m
305,G#m
306,G#m
307,G#m
308,G#m
309,G#m
310,G#m
311,G#m
312,G#m
313,G#m
314,G#m
315,G#m
316,G#m
317,G#m
318,G#m
319,G#m
320,G#m
321,G#m
322,G#m
323,G#m
324,G#m
325,G#m
326,G#m
327,G#m
328,G#m
329,G#m
330,G#m
331,G#m
332,G#m
333,G#m
334,G#m
335,G#m
336,Gm
337,Gm
338,Gm
339,Gm
340,Gm
341,Gm
342,Gm
343,Gm
344,Gm
345,Gm
346,Gm
347,Gm
348,Gm
349,Gm
350,Gm
351,Gm
352,Gm
353,Gm
354,Gm
355,Gm
356,Gm
357,Gm
358,Gm
359,Gm
360,C7
361,C7
362,C7
363,C7
364,C7
365,C7
366,C7
367,C7
368,C7
369,C7
370,C7
371,C7
372,C7
373,C7
374,C7
375,C7
376,C7
377,C7
378,C7
379,C7
380,C7
381,C7
382,C7
383,C7
384,F#m
385,F#m
386,F#m
387,F#m
388,F#m
389,F#m
390,F#m
391,F#m
392,F#m
393,F#m
394,F#m
395,F#m
396,F#m
397,F#m
398,F#m
399,F#m
400,F#m
401,F#m
402,F#m
403,F#m
404,F#m
405,F#m
406,F#m
407,F#m
408,F#m
409,F#m
410,F#m
411,F#m
412,F#m
413,F#m
414,F#m
415,F#m
416,F#m
417,F#m
418,F#m
419,F#m
420,F#m
421,F#m
422,F#m
423,F#m
424,F#m
425,F#m
426,F#m
427,F#m
428,F#m
429,F#m
430,F#m
431,F#m
432,B7
433,B7
434,B7
435,B7
436,B7
437,B7
438,B7
439,B7
440,B7
441,B7
442,B7
443,B7
444,B7
445,B7
446,B7
447,B7
448,B7
449,B7
450,B7
451,B7
452,B7
453,B7
454,B7
455,B7
456,B7
457,B7
458,B7
459,B7
460,B7
461,B7
462,B7
463,B7
464,B7
465,B7
466,B7
467,B7
468,B7
469,B7
470,B7
471,B7
472,B7
473,B7
474,B7
475,B7
476,B7
477,B7
478,B7
479,B7
480,E7
481,E7
482,E7
483,E7
484,E7
485,E7
486,E7
487,E7
488,E7
489,E7
490,E7
491,E7
492,E7
493,E7
494,E7
495,E7
496,E7
497,E7
498,E7
499,E7
500,E7
501,E7
502,E7
503,E7
504,E7
505,E7
506,E7
507,E7
508,E7
509,E7
510,E7
511,E7
512,E7
513,E7
514,E7
515,E7
516,E7
517,E7
518,E7
519,E7
520,E7
521,E7
522,E7
523,E7
524,E7
525,E7
526,E7
527,E7
528,F#m
529,F#m
530,F#m
531,F#m
532,F#m
533,F#m
534,F#m
535,F#m
536,F#m
537,F#m
538,F#m
539,F#m
540,F#m
541,F#m
542,F#m
543,F#m
544,F#m
545,F#m
546,F#m
547,F#m
548,F#m
549,F#m
550,F#m
551,F#m
552,B7
553,B7
554,B7
555,B7
556,B7
557,B7
558,B7
559,B7
560,B7
561,B7
562,B7
563,B7
564,B7
565,B7
566,B7
567,B7
568,B7
569,B7
570,B7
571,B7
572,B7
573,B7
574,B7
575,B7
576,E
577,E
578,E
579,E
580,E
581,E
582,E
583,E
584,E
585,E
586,E
587,E
588,E
589,E
590,E
591,E
592,E
593,E
594,E
595,E
596,E
597,E
598,E
599,E
600,E
601,E
602,E
603,E
604,E
605,E
606,E
607,E
608,E
609,E
610,E
611,E
612,E
613,E
614,E
615,E
616,E
617,E
618,E
619,E
620,E
621,E
622,E
623,E
624,E-/o7
625,E-/o7
626,E-/o7
627,E-/o7
628,E-/o7
629,E-/o7
630,E-/o7
631,E-/o7
632,E-/o7
633,E-/o7
634,E-/o7
635,E-/o7
636,E-/o7
637,E-/o7
638,E-/o7
639,E-/o7
640,E-/o7
641,E-/o7
642,E-/o7
643,E-/o7
644,E-/o7
645,E-/o7
646,E-/o7
647,E-/o7
648,G#7
649,G#7
650,G#7
651,G#7
652,G#7
653,G#7
654,G#7
655,G#7
656,G#7
657,G#7
658,G#7
659,G#7
660,G#7
661,G#7
662,G#7
663,G#7
664,G#7
665,G#7
666,G#7
667,G#7
668,G#7
669,G#7
670,G#7
671,G#7
672,C#m
673,C#m
674,C#m
675,C#m
676,C#m
677,C#m
678,C#m
679,C#m
680,C#m
681,C#m
682,C#m
683,C#m
684,C#m
685,C#m
686,C#m
687,C#m
688,C#m
689,C#m
690,C#m
691,C#m
692,C#m
693,C#m
694,C#m
695,C#m
696,F#7
697,F#7
698,F#7
699,F#7
700,F#7
701,F#7
702,F#7
703,F#7
704,F#7
705,F#7
706,F#7
707,F#7
708,F#7
709,F#7
710,F#7
711,F#7
712,F#7
713,F#7
714,F#7
715,F#7
716,F#7
717,F#7
718,F#7
719,F#7
720,Bm
721,Bm
722,Bm
723,Bm
724,Bm
725,Bm
726,Bm
727,Bm
728,Bm
729,Bm
730,Bm
731,Bm
732,Bm
733,Bm
734,Bm
735,Bm
736,Bm
737,Bm
738,Bm
739,Bm
740,Bm
741,Bm
742,Bm
743,Bm
744,E7
745,E7
746,E7
747,E7
748,E7
749,E7
750,E7
751,E7
752,E7
753,E7
754,E7
755,E7
756,E7
757,E7
758,E7
759,E7
760,E7
761,E7
762,E7
763,E7
764,E7
765,E7
766,E7
767,E7
768,A7
769,A7
770,A7
771,A7
772,A7
773,A7
774,A7
775,A7
776,A7
777,A7
778,A7
779,A7
780,A7
781,A7
782,A7
783,A7
784,A7
785,A7
786,A7
787,A7
788,A7
789,A7
790,A7
791,A7
792,A7
793,A7
794,A7
795,A7
796,A7
797,A7
798,A7
799,A7
800,A7
801,A7
802,A7
803,A7
804,A7
805,A7
806,A7
807,A7
808,A7
809,A7
810,A7
811,A7
812,A7
813,A7
814,A7
815,A7
816,Am
817,Am
818,Am
819,Am
820,Am
821,Am
822,Am
823,Am
824,Am
825,Am
826,Am
827,Am
828,Am
829,Am
830,Am
831,Am
832,Am
833,Am
834,Am
835,Am
836,Am
837,Am
838,Am
839,Am
840,D7
841,D7
842,D7
843,D7
844,D7
845,D7
846,D7
847,D7
848,D7
849,D7
850,D7
851,D7
852,D7
853,D7
854,D7
855,D7
856,D7
857,D7
858,D7
859,D7
860,D7
861,D7
862,D7
863,D7
864,G#m
865,G#m
866,G#m
867,G#m
868,G#m
869,G#m
870,G#m
871,G#m
872,G#m
873,G#m
874,G#m
875,G#m
876,G#m
877,G#m
878,G#m
879,G#m
880,G#m
881,G#m
882,G#m
883,G#m
884,G#m
885,G#m
886,G#m
887,G#m
888,G#m
889,G#m
