,0
0,A7
1,A7
2,A7
3,A7
4,A7
5,A7
6,A7
7,A7
8,A7
9,A7
10,A7
11,A7
12,A7
13,A7
14,A7
15,A7
16,A7
17,A7
18,A7
19,A7
20,A7
21,A7
22,A7
23,A7
24,A7
25,A7
26,A7
27,A7
28,A7
29,A7
30,A7
31,A7
32,A7
33,A7
34,A7
35,A7
36,A7
37,A7
38,A7
39,A7
40,A7
41,A7
42,A7
43,A7
44,A7
45,A7
46,A7
47,A7
48,D7
49,D7
50,D7
51,D7
52,D7
53,D7
54,D7
55,D7
56,D7
57,D7
58,D7
59,D7
60,D7
61,D7
62,D7
63,D7
64,D7
65,D7
66,D7
67,D7
68,D7
69,D7
70,D7
71,D7
72,D7
73,D7
74,D7
75,D7
76,D7
77,D7
78,D7
79,D7
80,D7
81,D7
82,D7
83,D7
84,D7
85,D7
86,D7
87,D7
88,D7
89,D7
90,D7
91,D7
92,D7
93,D7
94,D7
95,D7
96,D7
97,D7
98,D7
99,D7
100,D7
101,D7
102,D7
103,D7
104,D7
105,D7
106,D7
107,D7
108,D7
109,D7
110,D7
111,D7
112,D7
113,D7
114,D7
115,D7
116,D7
117,D7
118,D7
119,D7
120,D7
121,D7
122,D7
123,D7
124,D7
125,D7
126,D7
127,D7
128,D7
129,D7
130,D7
131,D7
132,D7
133,D7
134,D7
135,D7
136,D7
137,D7
138,D7
139,D7
140,D7
141,D7
142,D7
143,D7
144,D7
145,D7
146,D7
147,D7
148,D7
149,D7
150,D7
151,D7
152,D7
153,D7
154,D7
155,D7
156,D7
157,D7
158,D7
159,D7
160,D7
161,D7
162,D7
163,D7
164,D7
165,D7
166,D7
167,D7
168,D7
169,D7
170,D7
171,D7
172,D7
173,D7
174,D7
175,D7
176,D7
177,D7
178,D7
179,D7
180,D7
181,D7
182,D7
183,D7
184,D7
185,D7
186,D7
187,D7
188,D7
189,D7
190,D7
191,D7
192,D7
193,D7
194,D7
195,D7
196,D7
197,D7
198,D7
199,D7
200,D7
201,D7
202,D7
203,D7
204,D7
205,D7
206,D7
207,D7
208,D7
209,D7
210,D7
211,D7
212,D7
213,D7
214,D7
215,D7
216,D7
217,D7
218,D7
219,D7
220,D7
221,D7
222,D7
223,D7
224,D7
225,D7
226,D7
227,D7
228,D7
229,D7
230,D7
231,D7
232,D7
233,D7
234,D7
235,D7
236,D7
237,D7
238,D7
239,D7
240,G7
241,G7
242,G7
243,G7
244,G7
245,G7
246,G7
247,G7
248,G7
249,G7
250,G7
251,G7
252,G7
253,G7
254,G7
255,G7
256,G7
257,G7
258,G7
259,G7
260,G7
261,G7
262,G7
263,G7
264,G7
265,G7
266,G7
267,G7
268,G7
269,G7
270,G7
271,G7
272,G7
273,G7
274,G7
275,G7
276,G7
277,G7
278,G7
279,G7
280,G7
281,G7
282,G7
283,G7
284,G7
285,G7
286,G7
287,G7
288,G7
289,G7
290,G7
291,G7
292,G7
293,G7
294,G7
295,G7
296,G7
297,G7
298,G7
299,G7
300,G7
301,G7
302,G7
303,G7
304,G7
305,G7
306,G7
307,G7
308,G7
309,G7
310,G7
311,G7
312,G7
313,G7
314,G7
315,G7
316,G7
317,G7
318,G7
319,G7
320,G7
321,G7
322,G7
323,G7
324,G7
325,G7
326,G7
327,G7
328,G7
329,G7
330,G7
331,G7
332,G7
333,G7
334,G7
335,G7
336,D7
337,D7
338,D7
339,D7
340,D7
341,D7
342,D7
343,D7
344,D7
345,D7
346,D7
347,D7
348,D7
349,D7
350,D7
351,D7
352,D7
353,D7
354,D7
355,D7
356,D7
357,D7
358,D7
359,D7
360,D7
361,D7
