,0
0,G
1,G
2,G
3,G
4,G
5,G
6,G
7,G
8,G
9,G
10,G
11,G
12,G
13,G
14,G
15,G
16,G
17,G
18,G
19,G
20,G
21,G
22,G
23,G
24,G
25,G
26,G
27,G
28,G
29,G
30,G
31,G
32,G
33,G
34,G
35,G
36,G
37,G
38,G
39,G
40,G
41,G
42,G
43,G
44,G
45,G
46,G
47,G
48,Am
49,Am
50,Am
51,Am
52,Am
53,Am
54,Am
55,Am
56,Am
57,Am
58,Am
59,Am
60,Am
61,Am
62,Am
63,Am
64,Am
65,Am
66,Am
67,Am
68,Am
69,Am
70,Am
71,Am
72,D7
73,D7
74,D7
75,D7
76,D7
77,D7
78,D7
79,D7
80,D7
81,D7
82,D7
83,D7
84,D7
85,D7
86,D7
87,D7
88,D7
89,D7
90,D7
91,D7
92,D7
93,D7
94,D7
95,D7
96,G
97,G
98,G
99,G
100,G
101,G
102,G
103,G
104,G
105,G
106,G
107,G
108,G
109,G
110,G
111,G
112,G
113,G
114,G
115,G
116,G
117,G
118,G
119,G
120,E7
121,E7
122,E7
123,E7
124,E7
125,E7
126,E7
127,E7
128,E7
129,E7
130,E7
131,E7
132,E7
133,E7
134,E7
135,E7
136,E7
137,E7
138,E7
139,E7
140,E7
141,E7
142,E7
143,E7
144,Am
145,Am
146,Am
147,Am
148,Am
149,Am
150,Am
151,Am
152,Am
153,Am
154,Am
155,Am
156,Am
157,Am
158,Am
159,Am
160,Am
161,Am
162,Am
163,Am
164,Am
165,Am
166,Am
167,Am
168,D7
169,D7
170,D7
171,D7
172,D7
173,D7
174,D7
175,D7
176,D7
177,D7
178,D7
179,D7
180,D7
181,D7
182,D7
183,D7
184,D7
185,D7
186,D7
187,D7
188,D7
189,D7
190,D7
191,D7
192,G7
193,G7
194,G7
195,G7
196,G7
197,G7
198,G7
199,G7
200,G7
201,G7
202,G7
203,G7
204,G7
205,G7
206,G7
207,G7
208,G7
209,G7
210,G7
211,G7
212,G7
213,G7
214,G7
215,G7
216,G7
217,G7
218,G7
219,G7
220,G7
221,G7
222,G7
223,G7
224,G7
225,G7
226,G7
227,G7
228,G7
229,G7
230,G7
231,G7
232,G7
233,G7
234,G7
235,G7
236,G7
237,G7
238,G7
239,G7
240,C
241,C
242,C
243,C
244,C
245,C
246,C
247,C
248,C
249,C
250,C
251,C
252,C
253,C
254,C
255,C
256,C
257,C
258,C
259,C
260,C
261,C
262,C
263,C
264,C#dim
265,C#dim
266,C#dim
267,C#dim
268,C#dim
269,C#dim
270,C#dim
271,C#dim
272,C#dim
273,C#dim
274,C#dim
275,C#dim
276,C#dim
277,C#dim
278,C#dim
279,C#dim
280,C#dim
281,C#dim
282,C#dim
283,C#dim
284,C#dim
285,C#dim
286,C#dim
287,C#dim
288,G
289,G
290,G
291,G
292,G
293,G
294,G
295,G
296,G
297,G
298,G
299,G
300,G
301,G
302,G
303,G
304,G
305,G
306,G
307,G
308,G
309,G
310,G
311,G
312,E7
313,E7
314,E7
315,E7
316,E7
317,E7
318,E7
319,E7
320,E7
321,E7
322,E7
323,E7
324,E7
325,E7
326,E7
327,E7
328,E7
329,E7
330,E7
331,E7
332,E7
333,E7
334,E7
335,E7
336,Am
337,Am
338,Am
339,Am
340,Am
341,Am
342,Am
343,Am
344,Am
345,Am
346,Am
347,Am
348,Am
349,Am
350,Am
351,Am
352,Am
353,Am
354,Am
355,Am
356,Am
357,Am
358,Am
359,Am
360,D7
361,D7
362,D7
363,D7
364,D7
365,D7
366,D7
367,D7
368,D7
369,D7
370,D7
371,D7
372,D7
373,D7
374,D7
375,D7
376,D7
377,D7
378,D7
379,D7
380,D7
381,D7
382,D7
383,D7
384,G
385,G
386,G
387,G
388,G
389,G
390,G
391,G
392,G
393,G
394,G
395,G
396,G
397,G
398,G
399,G
400,G
401,G
402,G
403,G
404,G
405,G
406,G
407,G
408,G
409,G
410,G
411,G
412,G
413,G
414,G
415,G
416,G
417,G
418,G
419,G
420,G
421,G
422,G
423,G
424,G
425,G
426,G
427,G
428,G
429,G
430,G
431,G
432,Am
433,Am
434,Am
435,Am
436,Am
437,Am
438,Am
439,Am
440,Am
441,Am
442,Am
443,Am
444,Am
445,Am
446,Am
447,Am
448,Am
449,Am
450,Am
451,Am
