,0
0,Am
1,Am
2,Am
3,Am
4,Am
5,Am
6,Am
7,Am
8,Am
9,Am
10,Am
11,Am
12,Am
13,Am
14,Am
15,Am
16,Am
17,Am
18,Am
19,Am
20,Am
21,Am
22,Am
23,Am
24,Am
25,Am
26,Am
27,Am
28,Am
29,Am
30,Am
31,Am
32,Am
33,Am
34,Am
35,Am
36,Am
37,Am
38,Am
39,Am
40,Am
41,Am
42,Am
43,Am
44,Am
45,Am
46,Am
47,Am
48,Bm
49,Bm
50,Bm
51,Bm
52,Bm
53,Bm
54,Bm
55,Bm
56,Bm
57,Bm
58,Bm
59,Bm
60,Bm
61,Bm
62,Bm
63,Bm
64,Bm
65,Bm
66,Bm
67,Bm
68,Bm
69,Bm
70,Bm
71,Bm
72,E7
73,E7
74,E7
75,E7
76,E7
77,E7
78,E7
79,E7
80,E7
81,E7
82,E7
83,E7
84,E7
85,E7
86,E7
87,E7
88,E7
89,E7
90,E7
91,E7
92,E7
93,E7
94,E7
95,E7
96,Am
97,Am
98,Am
99,Am
100,Am
101,Am
102,Am
103,Am
104,Am
105,Am
106,Am
107,Am
108,Am
109,Am
110,Am
111,Am
112,Am
113,Am
114,Am
115,Am
116,Am
117,Am
118,Am
119,Am
120,Am
121,Am
122,Am
123,Am
124,Am
125,Am
126,Am
127,Am
128,Am
129,Am
130,Am
131,Am
132,Am
133,Am
134,Am
135,Am
136,Am
137,Am
138,Am
139,Am
140,Am
141,Am
142,Am
143,Am
144,Bm
145,Bm
146,Bm
147,Bm
148,Bm
149,Bm
150,Bm
151,Bm
152,Bm
153,Bm
154,Bm
155,Bm
156,Bm
157,Bm
158,Bm
159,Bm
160,Bm
161,Bm
162,Bm
163,Bm
164,Bm
165,Bm
166,Bm
167,Bm
168,E7
169,E7
170,E7
171,E7
172,E7
173,E7
174,E7
175,E7
176,E7
177,E7
178,E7
179,E7
180,E7
181,E7
182,E7
183,E7
184,E7
185,E7
186,E7
187,E7
188,E7
189,E7
190,E7
191,E7
192,Am
193,Am
194,Am
195,Am
196,Am
197,Am
198,Am
199,Am
200,Am
201,Am
202,Am
203,Am
204,Am
205,Am
206,Am
207,Am
208,Am
209,Am
210,Am
211,Am
212,Am
213,Am
214,Am
215,Am
216,Am
217,Am
218,Am
219,Am
220,Am
221,Am
222,Am
223,Am
224,Am
225,Am
226,Am
227,Am
228,Am
229,Am
230,Am
231,Am
232,Am
233,Am
234,Am
235,Am
236,Am
237,Am
238,Am
239,Am
240,E7
241,E7
242,E7
243,E7
244,E7
245,E7
246,E7
247,E7
248,E7
249,E7
250,E7
251,E7
252,E7
253,E7
254,E7
255,E7
256,E7
257,E7
258,E7
259,E7
260,E7
261,E7
262,E7
263,E7
264,E7
265,E7
266,E7
267,E7
268,E7
269,E7
270,E7
271,E7
272,E7
273,E7
274,E7
275,E7
276,E7
277,E7
278,E7
279,E7
280,E7
281,E7
282,E7
283,E7
284,E7
285,E7
286,E7
287,E7
288,Am
289,Am
290,Am
291,Am
292,Am
293,Am
294,Am
295,Am
296,Am
297,Am
298,Am
299,Am
300,Am
301,Am
302,Am
303,Am
304,Am
305,Am
306,Am
307,Am
308,Am
309,Am
310,Am
311,Am
312,Am
313,Am
314,Am
315,Am
316,Am
317,Am
318,Am
319,Am
320,Am
321,Am
322,Am
323,Am
324,Am
325,Am
326,Am
327,Am
328,Am
329,Am
330,Am
331,Am
332,Am
333,Am
334,Am
335,Am
336,E7
337,E7
338,E7
339,E7
340,E7
341,E7
342,E7
343,E7
344,E7
345,E7
346,E7
347,E7
348,E7
349,E7
350,E7
351,E7
352,E7
353,E7
354,E7
355,E7
356,E7
357,E7
358,E7
359,E7
360,E7
361,E7
362,E7
363,E7
364,E7
365,E7
366,E7
